1	12	6	1
3	13	10	2
4	9	6	0
7	8	10	3
13	12	11	2
15	8	11	0
17	2	11	0
20	2	14	3
21	9	6	2
23	6	6	1
27	13	5	1
28	0	11	0
35	12	12	1
36	13	7	1
37	5	8	2
39	8	8	3
41	7	15	3
42	6	1	0
45	6	0	1
47	6	11	0
49	3	7	1
51	1	3	3
53	1	9	3
54	10	5	0
55	5	11	3
57	2	3	0
58	7	4	2
59	7	11	1
60	10	8	1
62	7	9	3
63	11	5	3
64	12	9	2
67	2	8	3
69	1	12	0
70	2	9	0
72	10	10	3
73	8	7	0
74	12	15	2
75	8	5	0
76	14	6	1
77	6	13	2
79	6	4	1
80	5	11	1
81	6	6	3
82	3	10	2
83	1	6	0
85	1	13	3
86	11	6	2
89	6	9	2
90	1	0	0
91	5	8	0
92	10	14	3
94	1	5	3
95	8	12	3
97	2	1	0
99	6	12	1
100	11	9	3
101	5	7	1
102	5	15	3
103	5	5	3
105	1	8	0
112	3	14	2
113	11	4	2
114	0	12	3
116	13	11	1
117	9	3	3
118	10	9	0
119	14	11	2
120	7	11	3
121	6	11	2
122	4	6	3
125	7	9	1
127	13	3	1
133	2	4	3
134	10	15	2
135	1	11	3
138	9	1	1
141	5	3	3
142	14	3	2
145	3	11	1
147	10	11	2
148	0	7	0
149	11	1	1
150	2	6	3
151	6	8	1
154	4	4	3
155	7	6	0
156	3	9	1
157	11	12	0
158	3	5	1
159	5	13	3
162	6	4	3
164	9	12	0
165	3	12	0
168	9	4	2
169	11	3	3
171	3	3	1
173	10	0	1
174	0	3	0
177	3	12	2
178	7	1	1
179	7	6	2
180	4	3	2
182	4	11	0
184	4	1	0
185	3	8	2
187	10	10	1
188	7	3	1
189	3	1	1
190	7	10	0
191	11	7	3
193	9	11	3
194	7	12	0
195	6	3	2
196	5	12	2
197	10	5	2
199	12	4	1
201	11	11	1
203	9	11	1
204	8	12	1
206	1	4	0
207	6	5	2
210	5	3	1
212	8	3	0
213	12	10	1
216	13	8	2
218	7	14	2
219	11	2	0
220	13	12	2
221	10	4	3
222	7	8	2
225	5	0	0
226	11	0	0
227	10	3	2
230	4	7	2
234	3	6	2
237	9	10	2
239	5	6	0
241	14	12	1
242	0	8	3
243	3	4	2
244	4	2	1
245	7	4	0
246	4	5	0
247	9	5	1
248	10	6	1
249	5	10	0
250	10	13	2
251	11	4	0
253	4	10	3
256	9	9	3
259	11	6	0
261	1	15	3
262	12	8	1
263	6	10	1
265	5	9	1
267	5	12	0
268	5	4	2
269	10	2	1
270	8	3	2
272	5	14	2
274	0	14	3
275	13	14	2
276	9	3	1
277	4	13	2
280	0	10	3
281	8	6	3
282	0	9	0
283	13	9	1
284	8	1	0
285	9	10	0
286	11	15	3
287	13	4	2
289	2	12	3
292	11	10	2
294	8	14	3
295	3	4	0
296	10	12	1
298	14	0	1
299	1	7	3
300	4	11	2
301	9	4	0
303	6	2	1
305	11	3	1
307	4	5	2
308	3	6	0
311	11	12	2
312	5	6	2
314	0	5	0
315	7	5	1
316	3	8	0
318	8	13	2
321	4	12	1
322	5	1	1
323	5	10	2
324	4	15	2
326	7	2	0
327	11	10	0
328	2	5	0
330	6	15	2
331	5	2	0
332	2	10	3
333	14	10	1
335	9	12	2
