1	3	3	2
4	3	0	1
7	6	3	1
12	2	7	3
23	1	6	3
30	0	4	0
39	3	10	3
49	3	9	2
64	0	3	3
71	2	2	0
73	6	6	2
75	3	7	0
76	3	15	2
82	0	9	3
85	0	17	3
86	3	12	3
87	5	3	2
89	1	3	0
92	4	4	2
96	5	4	1
100	0	12	0
103	6	14	2
109	3	18	3
110	6	8	2
111	3	11	2
114	2	14	0
115	3	5	2
116	1	1	0
117	4	15	1
118	4	11	1
119	4	7	1
126	1	9	0
127	2	11	3
129	2	4	0
148	3	6	1
153	3	4	1
156	5	17	2
158	5	9	2
177	2	17	3
181	3	2	1
185	2	9	3
187	2	12	0
190	2	15	3
197	1	8	3
199	2	10	0
205	4	16	2
207	3	13	0
212	6	9	1
215	6	1	1
220	1	14	3
221	3	10	1
236	3	5	0
240	3	7	2
242	2	6	0
250	5	12	1
252	4	12	2
256	0	0	0
258	5	7	2
259	3	12	1
269	4	8	2
271	4	13	1
275	4	1	1
277	3	17	2
280	0	6	0
281	3	9	0
282	5	14	1
283	4	14	2
287	0	10	0
292	3	3	0
293	2	5	3
301	2	13	3
303	3	16	3
305	6	12	2
306	0	7	3
308	4	6	2
309	5	0	1
314	5	6	1
317	3	1	0
326	4	5	1
329	5	2	1
331	3	14	3
337	0	14	0
339	4	18	2
340	3	14	1
345	2	3	3
346	0	5	3
347	4	10	2
348	1	18	3
353	1	5	0
358	1	13	0
361	5	10	1
364	6	15	1
374	0	13	3
377	6	4	2
385	0	15	3
391	6	18	2
395	3	8	3
401	1	4	3
405	1	15	0
411	4	9	1
412	0	2	0
419	6	5	1
420	6	10	2
421	6	11	1
423	3	8	1
433	1	11	0
435	1	12	3
437	1	7	0
439	5	11	2
442	5	15	2
448	3	6	3
451	3	15	0
452	5	5	2
454	5	13	2
456	6	7	1
459	0	11	3
460	3	11	0
464	4	3	1
468	2	0	0
470	3	4	3
475	2	8	0
476	1	10	3
481	1	16	3
486	6	16	2
489	6	13	1
492	0	8	0
497	3	13	2
508	5	8	1
514	2	6	3
520	2	3	0
523	4	3	2
526	3	4	2
527	3	11	3
531	5	8	2
534	3	17	3
537	3	14	0
543	4	12	1
544	5	6	2
550	4	0	1
557	0	8	3
564	5	5	1
567	5	14	2
570	2	1	0
571	2	9	0
589	6	7	2
590	3	11	1
591	6	2	1
600	2	8	3
603	2	14	3
605	3	6	0
610	3	16	2
611	3	10	0
614	1	7	3
618	4	17	2
619	4	9	2
633	3	12	0
637	5	13	1
640	5	3	1
649	0	4	3
652	0	13	0
654	3	15	1
663	3	15	3
666	5	1	1
673	3	13	1
675	4	14	1
677	3	13	3
679	4	6	1
681	3	18	2
684	1	14	0
687	6	3	2
690	2	4	3
694	2	12	3
696	5	4	2
701	0	6	3
707	0	5	0
712	1	3	3
713	3	8	0
716	4	4	1
718	1	2	0
720	6	14	1
729	4	15	2
730	5	9	1
734	2	7	0
735	4	11	2
736	0	1	0
738	0	18	3
740	0	14	3
741	0	10	3
742	4	5	2
743	5	18	2
747	3	3	3
749	4	10	1
755	0	3	0
758	5	10	2
765	0	9	0
775	6	4	1
778	0	16	3
779	1	4	0
791	3	9	3
802	3	1	1
803	0	11	0
806	6	11	2
807	3	2	0
810	0	15	0
811	1	5	3
816	6	17	2
822	1	12	0
827	2	10	3
828	6	15	2
831	4	8	1
842	6	10	1
846	3	7	1
867	0	7	0
868	3	4	0
872	3	5	1
875	2	18	3
878	1	13	3
884	6	9	2
890	3	3	1
892	2	16	3
894	3	12	2
902	3	8	2
905	3	14	2
906	1	17	3
908	6	13	2
909	3	10	2
911	1	10	0
912	2	5	0
919	2	13	0
926	3	6	2
927	0	12	3
928	1	0	0
929	4	7	2
937	4	2	1
940	1	6	0
941	5	15	1
942	6	0	1
948	5	11	1
952	5	12	2
953	5	7	1
961	3	7	3
969	6	5	2
970	1	9	3
974	2	15	0
977	6	6	1
978	6	12	1
979	5	16	2
984	2	11	0
992	6	8	1
995	4	13	2
996	3	5	3
1002	3	0	0
1008	1	15	3
1011	3	9	1
1014	1	8	0
1017	1	11	3
